company_name,year,quarter,positive,negative,uncertainty,litigious,modal,total_words,participants
ORCL,2019,2,81,31,43,6,26,3411,7
SYK,2019,2,184,94,89,4,44,5489,18
DUK,2019,1,144,70,54,75,73,4635,7
MO,2019,1,153,152,124,17,79,7077,11
PG,2019,2,218,126,68,2,56,5690,17
CVS,2019,1,189,116,66,20,55,5873,17
MSFT,2018,4,174,63,56,5,44,5111,10
GE,2019,2,187,118,74,11,71,6100,12
COST,2018,4,148,93,85,13,74,7025,15
UNP,2019,1,272,179,101,10,65,8114,20
NOC,2019,1,159,74,72,16,50,5177,14
BKNG,2019,1,123,81,107,4,52,5925,13
PFE,2019,2,167,141,96,16,42,6408,12
LIN,2019,1,122,121,80,18,103,5419,13
LMT,2019,1,142,58,75,10,46,5517,14
MRK,2018,4,198,99,95,11,42,5719,11
T,2019,1,186,74,63,5,61,6194,7
CMCSA,2018,3,320,97,68,5,128,7978,9
UTX,2018,4,154,101,106,8,64,5863,11
HD,2019,1,138,110,83,2,44,5746,9
ANTM,2019,2,245,153,114,21,87,6922,19
SO,2019,1,119,96,74,15,73,5772,9
FISV,2018,3,156,83,77,8,50,5832,9
NEE,2018,3,188,62,97,24,61,5733,7
ZTS,2019,1,155,115,69,3,59,5515,10
ORCL,2019,1,77,55,44,4,30,3777,9
SYK,2019,1,191,84,106,9,70,6124,17
DUK,2019,2,170,67,74,78,61,4972,8
MDLZ,2018,4,242,64,74,1,83,6045,10
MO,2019,2,198,137,115,24,75,7212,13
AVGO,2018,4,76,75,69,10,32,4814,14
DIS,2018,3,117,100,61,24,37,5089,9
CVS,2019,2,246,107,88,17,74,6559,13
PG,2019,1,188,116,69,2,56,5362,15
HON,2018,3,228,79,120,20,61,6866,10
GE,2019,1,201,105,105,23,36,6195,11
UNP,2019,2,290,161,85,6,99,7330,15
BKNG,2019,2,171,82,111,7,69,6023,13
INTC,2018,3,162,56,50,1,30,4795,10
NOC,2019,2,179,72,70,21,63,5271,16
PFE,2019,1,187,151,91,20,65,6803,13
LMT,2019,2,176,59,65,22,78,5561,12
T,2019,2,153,52,55,5,38,5273,9
HD,2019,2,169,90,86,2,59,5661,10
CCI,2018,3,119,80,156,14,102,7058,13
SPGI,2018,4,219,148,116,22,73,9039,11
AMZN,2018,3,69,51,49,3,28,3260,12
ANTM,2019,1,172,109,92,10,53,5731,18
SO,2019,2,176,125,141,25,72,6618,10
ZTS,2019,2,144,100,66,1,58,5741,-1
FISV,2018,4,201,59,83,4,51,5907,11
NEE,2018,4,201,100,113,49,98,6804,-1
VZ,2019,2,172,84,59,1,44,6082,11
PM,2018,3,145,73,87,7,40,5068,7
CMCSA,2018,4,260,59,48,7,83,6547,8
UTX,2018,3,170,118,69,17,94,5747,11
TMO,2019,1,218,85,66,11,37,5677,11
CSCO,2019,2,137,75,66,1,57,4719,12
MRK,2018,3,175,97,90,9,57,6227,9
CL,2019,2,211,77,49,1,27,5930,15
MDT,2019,2,223,61,69,1,42,5611,6
COST,2018,3,145,78,96,11,77,6719,12
BDX,2019,2,173,102,70,6,61,5822,11
MSFT,2018,3,187,81,61,7,55,6611,10
IBM,2019,2,143,82,26,6,25,4922,7
CVX,2019,2,148,126,72,6,43,5507,11
QCOM,2019,1,209,237,124,106,77,9819,27
VZ,2019,1,156,72,49,2,34,5393,11
AMZN,2018,4,88,50,42,5,27,3183,12
CCI,2018,4,105,62,131,16,71,6660,14
SPGI,2018,3,219,157,117,15,65,7396,13
CSCO,2019,1,169,79,70,2,48,5497,12
TMO,2019,2,198,86,74,4,43,5530,13
CL,2019,1,144,48,30,1,29,4658,14
MDT,2019,1,256,100,70,15,53,6141,9
INTC,2018,4,140,72,63,2,22,5242,10
BDX,2019,1,200,120,80,8,40,7074,15
HON,2018,4,267,101,108,3,71,6875,11
DIS,2018,4,140,76,63,11,49,5007,8
IBM,2019,1,173,134,55,6,24,6375,8
AVGO,2018,3,155,92,71,2,41,5471,11
MDLZ,2018,3,186,70,54,1,55,4970,9
CVX,2019,1,133,127,85,8,62,5306,12
TMO,2018,4,252,59,97,2,50,5966,9
CMCSA,2019,1,212,78,49,5,54,5799,9
T,2018,3,169,62,45,4,36,6098,6
LMT,2018,3,120,85,101,26,93,5871,12
AMZN,2019,2,80,49,53,2,37,3378,11
HD,2018,3,168,89,86,4,61,5522,12
ZTS,2018,3,172,89,56,8,40,5481,10
FISV,2019,1,182,70,86,5,55,5689,12
NEE,2019,1,156,77,109,47,47,5792,6
SO,2018,3,224,113,96,22,98,8814,16
MO,2018,3,138,104,95,11,64,5795,8
DUK,2018,3,168,67,79,37,40,5756,10
HON,2019,2,200,109,110,9,52,6043,9
CVS,2018,3,156,78,55,15,41,5724,69
DIS,2019,2,116,65,64,6,47,4439,10
NOC,2018,3,188,90,62,12,68,5791,14
BKNG,2018,3,186,81,106,5,74,6275,12
INTC,2019,2,173,90,74,2,39,5112,10
UNP,2018,3,295,171,124,6,114,9736,16
MDT,2018,4,209,111,83,9,55,6265,9
PFE,2018,3,252,161,95,9,65,7263,13
CMCSA,2019,2,199,64,50,6,53,5321,9
CL,2018,4,210,99,77,2,53,5823,14
UNH,2018,3,243,94,85,7,76,7227,16
AMZN,2019,1,81,66,52,7,51,3600,12
CCI,2019,1,113,80,117,20,74,5930,13
QCOM,2018,4,115,131,79,59,29,5521,9
NEE,2019,2,179,76,91,49,64,5587,7
FISV,2019,2,179,80,84,4,40,6069,13
VZ,2018,4,176,66,53,6,41,5888,9
ANTM,2018,3,191,125,65,12,38,5950,14
SYK,2018,3,184,93,97,6,54,6869,19
CVX,2018,4,149,86,86,5,68,5552,12
ORCL,2018,3,46,56,51,6,30,4249,8
IBM,2018,4,217,126,65,5,51,7120,10
HON,2019,1,209,94,104,7,63,6433,12
BDX,2018,4,281,113,92,6,53,8526,11
PG,2018,3,333,160,88,11,104,7943,12
DIS,2019,1,125,97,68,9,39,4621,8
INTC,2019,1,134,89,71,1,37,4688,12
GE,2018,3,188,97,54,17,55,5902,15
UNP,2018,4,334,166,130,16,66,8874,17
NOC,2018,4,126,61,81,10,63,5207,11
BKNG,2018,4,153,90,113,6,67,6807,15
CVS,2018,4,229,126,71,20,69,6839,93
MSFT,2019,1,205,89,65,11,38,5668,10
MO,2018,4,163,163,109,19,71,6855,8
MDLZ,2019,2,242,84,95,3,97,6467,10
DUK,2018,4,192,87,70,60,31,5627,9
AVGO,2019,2,43,59,63,2,13,2728,12
SO,2018,4,194,96,104,43,79,6763,9
ZTS,2018,4,169,80,60,3,58,5593,9
SPGI,2019,2,172,114,68,13,55,6426,10
HD,2018,4,154,86,81,4,60,5597,8
PM,2019,1,153,76,91,7,43,4626,9
T,2018,4,201,89,50,6,48,6337,8
LMT,2018,4,136,97,101,11,57,5958,10
MRK,2019,1,189,75,82,8,49,5928,11
TMO,2018,3,299,71,69,3,32,6322,11
UTX,2019,1,182,79,86,6,59,5958,13
COST,2019,2,98,76,65,7,46,5287,-1
GE,2018,4,214,156,81,38,68,7999,12
MSFT,2019,2,165,77,54,11,39,5414,10
PG,2018,4,367,131,121,9,82,8840,17
BDX,2018,3,261,91,70,3,42,7111,9
MDLZ,2019,1,218,77,76,4,76,6396,9
AVGO,2019,1,87,72,62,1,33,3951,12
IBM,2018,3,189,95,34,5,61,6567,9
CVX,2018,3,151,113,87,20,78,6504,10
ORCL,2018,4,64,46,44,4,28,3965,7
SYK,2018,4,248,111,115,17,76,8082,20
VZ,2018,3,189,78,56,2,45,5369,12
ANTM,2018,4,223,123,62,35,31,5705,11
QCOM,2018,3,140,104,92,20,45,5295,14
SPGI,2019,1,177,110,90,13,63,6742,11
PM,2019,2,161,75,91,4,50,5423,7
UNH,2018,4,221,84,88,16,76,6242,19
CL,2018,3,143,148,53,1,60,5402,13
MRK,2019,2,159,107,69,16,46,4979,12
UTX,2019,2,191,90,86,15,79,6110,12
PFE,2018,4,236,159,99,8,64,7406,11
BA,2019,1,172,92,42,26,47,6816,12
PYPL,2018,3,152,41,65,1,44,5131,6
D,2018,4,97,79,58,59,30,4367,6
ABT,2018,3,152,83,62,15,84,5184,8
AAPL,2019,2,152,65,43,7,80,4735,7
USB,2019,1,128,80,60,3,40,4902,11
GOOG,2018,3,181,71,55,1,69,5864,11
V,2019,1,102,120,79,11,43,5731,13
